0: best-per 0.583439024071338, best-seq [0]
0: best-per 0.7960252141316412, best-seq [0]
1: best-per 1.174326652975474, best-seq [0]
1: best-per 1.174326652975474, best-seq [0]
1: best-per 1.174326652975474, best-seq [0]
1: best-per 1.174326652975474, best-seq [0]
1: best-per 3.2755791505791505, best-seq [0]
1: best-per 3.2755791505791505, best-seq [0]
2: best-per 3.2755791505791505, best-seq [0]
2: best-per 3.2755791505791505, best-seq [0]
2: best-per 3.2755791505791505, best-seq [0]
2: best-per 3.2755791505791505, best-seq [0]
2: best-per 3.2755791505791505, best-seq [0]
2: best-per 3.2755791505791505, best-seq [0]
3: best-per 3.2755791505791505, best-seq [0]
3: best-per 3.2755791505791505, best-seq [0]
3: best-per 3.2755791505791505, best-seq [0]
3: best-per 3.2755791505791505, best-seq [0]
3: best-per 3.2755791505791505, best-seq [0]
3: best-per 3.2755791505791505, best-seq [0]
4: best-per 3.2755791505791505, best-seq [0]
4: best-per 3.2755791505791505, best-seq [0]
4: best-per 3.2755791505791505, best-seq [0]
4: best-per 3.2755791505791505, best-seq [0]
4: best-per 3.2755791505791505, best-seq [0]
4: best-per 3.2755791505791505, best-seq [0]
5: best-per 3.2755791505791505, best-seq [0]
5: best-per 3.2755791505791505, best-seq [0]
5: best-per 3.2755791505791505, best-seq [0]
5: best-per 3.2755791505791505, best-seq [0]
5: best-per 3.2755791505791505, best-seq [0]
5: best-per 3.2755791505791505, best-seq [0]
6: best-per 3.2755791505791505, best-seq [0]
6: best-per 3.2755791505791505, best-seq [0]
6: best-per 3.2755791505791505, best-seq [0]
6: best-per 3.2755791505791505, best-seq [0]
6: best-per 3.2755791505791505, best-seq [0]
6: best-per 3.2755791505791505, best-seq [0]
7: best-per 3.2755791505791505, best-seq [0]
7: best-per 3.2755791505791505, best-seq [0]
7: best-per 3.2755791505791505, best-seq [0]
7: best-per 3.2755791505791505, best-seq [0]
7: best-per 3.2755791505791505, best-seq [0]
7: best-per 3.2755791505791505, best-seq [0]
8: best-per 3.2755791505791505, best-seq [0]
8: best-per 3.2755791505791505, best-seq [0]
8: best-per 3.2755791505791505, best-seq [0]
8: best-per 3.2755791505791505, best-seq [0]
8: best-per 3.2755791505791505, best-seq [0]
8: best-per 3.2755791505791505, best-seq [0]
9: best-per 3.2755791505791505, best-seq [0]
9: best-per 3.2755791505791505, best-seq [0]
9: best-per 3.2755791505791505, best-seq [0]
9: best-per 3.2755791505791505, best-seq [0]
9: best-per 3.2755791505791505, best-seq [0]
9: best-per 3.2755791505791505, best-seq [0]
10: best-per 3.2755791505791505, best-seq [0]
10: best-per 3.2755791505791505, best-seq [0]
10: best-per 3.2755791505791505, best-seq [0]
10: best-per 3.2755791505791505, best-seq [0]
10: best-per 3.2755791505791505, best-seq [0]
10: best-per 3.2755791505791505, best-seq [0]
